fold,auroc,f1,precision,recall,ap
1,1.0,0.9655172413793104,0.9333333333333333,1.0,0.9999999999999999
2,1.0,1.0,1.0,1.0,0.9999999999999998
3,1.0,0.96,1.0,0.9230769230769231,0.9999999999999998
4,1.0,0.9629629629629629,0.9285714285714286,1.0,0.9999999999999998
5,1.0,1.0,1.0,1.0,0.9999999999999998
