fold,auroc,f1,precision,recall,ap
1,0.9986772486772487,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9952380952380953
2,1.0,1.0,1.0,1.0,0.9999999999999998
3,1.0,0.96,1.0,0.9230769230769231,0.9999999999999998
4,1.0,1.0,1.0,1.0,0.9999999999999998
5,1.0,1.0,1.0,1.0,0.9999999999999998
