시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
전북,고창군,건설업,150,824,224846080,78,45,0.54,272871.4563106796,0.07463592233009708,5.493333333333333,0.832,1.32,1.812,1.3216,97.8,0,0
충북,진천군,건설업,183,1353,447740180,181,91,0.5409836065573771,330924.0059127864,0.10051736881005174,7.39344262295082,-0.184,2.303,1.82,1.313,97.8,0,0
충남,당진시,협회수리개인,33,795,304431140,18,277,0.21212121212121213,382932.25157232705,0.18553459119496854,24.09090909090909,-0.953,5.533,-0.657,1.3076,97.7,0,0
전남,해남군,건설업,237,1485,421048500,155,87,0.5232067510548524,283534.3434343434,0.08148148148148149,6.265822784810126,0.63,1.58,1.686,1.2988,97.7,0,0
경기,구리시,건설업,207,1642,593502440,262,101,0.5458937198067633,361450.9378806334,0.11053593179049939,7.932367149758454,-0.649,2.684,1.857,1.2972,97.6,0,0
전남,순천시,숙박음식점업,58,546,134037280,47,51,0.3793103448275862,245489.52380952382,0.08974358974358974,9.413793103448276,1.389,1.894,0.602,1.2953,97.5,0,0
전북,전주시,숙박음식점업,140,1290,303365260,128,103,0.35,235166.86821705426,0.08953488372093023,9.214285714285714,1.616,1.886,0.381,1.2945,97.5,0,0
인천,중구,건설업,241,2336,906094140,537,141,0.4190871369294606,387882.7654109589,0.14511986301369864,9.692946058091286,-1.021,3.998,0.902,1.2929,97.4,0,0
충남,청양군,건설업,97,572,154434060,47,39,0.5154639175257731,269989.6153846154,0.07517482517482517,5.896907216494846,0.888,1.341,1.628,1.2855,97.4,0,0
충북,괴산군,건설업,157,872,231032700,81,36,0.5414012738853503,264945.75688073394,0.06708715596330275,5.554140127388535,0.988,1.034,1.823,1.2813,97.3,0,0
강원,정선군,건설업,145,863,267260460,110,67,0.4689655172413793,309687.6709154114,0.10254924681344148,5.951724137931034,0.165,2.381,1.277,1.2745,97.3,0,0
경기,가평군,건설업,147,1011,364796140,183,69,0.46258503401360546,360827.0425321464,0.12462908011869436,6.877551020408164,-0.64,3.219,1.229,1.2696,97.2,0,0
세종,세종시,건설업,605,5073,1887768080,903,406,0.46115702479338844,372120.6544451015,0.12901636112753795,8.38512396694215,-0.802,3.386,1.219,1.2674,97.2,0,0
경기,안성시,건설업,407,4868,1948244500,1081,437,0.3759213759213759,400214.5645028759,0.15591618734593263,11.960687960687961,-1.186,4.408,0.577,1.2662,97.1,2,2
경남,함안군,건설업,163,928,287510820,95,52,0.5828220858895705,309817.6939655172,0.07920258620689655,5.693251533742331,0.163,1.494,2.135,1.2639,97.1,0,0
부산,연제구,숙박음식점업,41,506,125480460,73,39,0.2682926829268293,247985.09881422925,0.11067193675889328,12.341463414634147,1.336,2.689,-0.234,1.2638,97.0,0,0
서울,은평구,건설업,294,2463,873501640,443,170,0.4489795918367347,354649.4681282988,0.1244417377182298,8.377551020408163,-0.549,3.212,1.127,1.2634,97.0,2,1
경북,의성군,건설업,170,935,256447380,76,47,0.5647058823529412,274275.2727272727,0.06577540106951872,5.5,0.805,0.984,1.998,1.2624,96.9,0,0
충남,태안군,건설업,182,1242,389469720,144,105,0.4835164835164835,313582.7053140097,0.10024154589371981,6.824175824175824,0.099,2.293,1.387,1.2598,96.8,0,0
