스냅샷,시도,시군구,업종대분류,가입자수,위험점수,위험백분위,이직률,인당보험료
2026-05,강원,철원군,건설업,952,1.5829,98.9,0.0898109243697479,274724.1386554622
2026-05,강원,철원군,기타,890,0.3198,69.4,0.039887640449438204,258291.34831460673
2026-05,강원,철원군,제조업,593,0.0009,46.7,0.04300168634064081,296169.8482293423
2026-05,강원,춘천시,건설업,3550,0.9409,92.5,0.08,306692.9183098592
2026-05,강원,춘천시,금융보험업,855,-1.5151,1.8,0.019883040935672516,427339.9298245614
2026-05,강원,춘천시,기타,7087,0.2481,64.1,0.033159305771130236,250165.88965711868
2026-05,강원,춘천시,도소매업,4663,0.1346,55.9,0.031846450782757885,309645.3441990135
2026-05,강원,춘천시,보건사회복지,2126,-0.5866,20.2,0.04421448730009407,310426.7544684854
2026-05,강원,춘천시,부동산업,4709,0.1119,54.2,0.02155447016351667,286976.7296665959
2026-05,강원,춘천시,숙박음식점업,946,0.7304,86.2,0.09302325581395349,248427.5264270613
2026-05,강원,춘천시,운수창고업,806,-0.0454,43.6,0.02977667493796526,284123.5483870968
2026-05,강원,춘천시,전문과학기술,6529,0.1161,54.6,0.03668249349058049,303766.40526880074
2026-05,강원,춘천시,정보통신업,1050,-0.0021,46.5,0.041428571428571426,311066.5904761905
2026-05,강원,춘천시,제조업,6385,-0.3803,27.8,0.02090837901331245,347867.16053249803
2026-05,강원,춘천시,협회수리개인,1596,1.0932,95.0,0.1174812030075188,294272.33082706766
2026-05,강원,태백시,건설업,818,1.4299,98.3,0.11735941320293398,306314.66992665036
2026-05,강원,태백시,기타,706,0.3568,72.1,0.021246458923512748,246430.90651558075
2026-05,강원,태백시,부동산업,660,-0.2679,31.9,0.010606060606060607,311059.1515151515
2026-05,강원,평창군,건설업,859,1.7401,99.3,0.12339930151338765,322932.8521536671
2026-05,강원,평창군,금융보험업,544,-1.6454,0.9,0.009191176470588236,426107.38970588235
2026-05,강원,평창군,기타,850,0.5132,80.4,0.025294117647058825,251071.67058823528
2026-05,강원,평창군,부동산업,620,0.2228,62.1,0.013709677419354839,286812.70967741933
2026-05,강원,평창군,숙박음식점업,593,-0.4598,24.8,0.0387858347386172,352558.61720067455
2026-05,강원,평창군,전문과학기술,935,0.2021,60.5,0.051336898395721926,313879.6577540107
2026-05,강원,홍천군,건설업,1553,0.9116,91.9,0.08177720540888603,321649.9034127495
2026-05,강원,홍천군,기타,1378,0.2247,62.4,0.022859216255442672,259154.06386066764
2026-05,강원,홍천군,도소매업,760,0.3328,70.4,0.0506578947368421,319789.4210526316
2026-05,강원,홍천군,부동산업,851,0.4973,79.3,0.03525264394829612,286532.4324324324
2026-05,강원,홍천군,숙박음식점업,896,-0.0284,44.8,0.04743303571428571,297547.27678571426
2026-05,강원,홍천군,제조업,2068,-0.7697,14.2,0.019100580270793036,444307.33075435204
2026-05,강원,화천군,건설업,642,1.5272,98.7,0.11448598130841121,317000.52959501557
2026-05,강원,화천군,기타,634,0.4559,77.3,0.033123028391167195,267764.8895899054
2026-05,강원,횡성군,건설업,1186,0.6712,84.7,0.07166947723440135,312499.05564924114
2026-05,강원,횡성군,기타,767,0.6897,85.1,0.03780964797913951,236860.54758800523
2026-05,강원,횡성군,도소매업,814,0.1991,60.1,0.033169533169533166,310505.8476658477
2026-05,강원,횡성군,전문과학기술,531,0.0707,51.1,0.035781544256120526,270185.53672316385
2026-05,강원,횡성군,제조업,3001,-0.3902,27.3,0.026657780739753417,321883.7454181939
2026-05,경기,가평군,건설업,1011,1.2696,97.2,0.12462908011869436,360827.0425321464
2026-05,경기,가평군,기타,1588,-0.002,46.6,0.019836272040302267,276226.6624685139
2026-05,경기,가평군,도소매업,610,0.2419,63.7,0.038524590163934426,291591.7049180328
2026-05,경기,가평군,부동산업,614,-0.0263,44.9,0.017915309446254073,290660.8469055375
2026-05,경기,가평군,전문과학기술,533,0.52,80.6,0.05722326454033771,285611.0694183865
2026-05,경기,가평군,제조업,776,0.3214,69.5,0.03479381443298969,305638.86597938143
2026-05,경기,고양시,건설업,9908,0.6834,85.0,0.08402301170771094,369052.0952765442
2026-05,경기,고양시,교육서비스업,942,0.4689,78.0,0.03131634819532909,238403.82165605095
2026-05,경기,고양시,금융보험업,1241,-0.6892,17.1,0.0064464141821112,474070.74939564866
2026-05,경기,고양시,기타,17765,-0.1046,39.9,0.02580917534477906,272375.762454264
